person_id,date,attendance_binary,is_exam_period,month,day_of_week,workload_indicator,rolling_avg_7d,rolling_avg_30d,prev_7d_attendance,prev_30d_attendance,consecutive_absences,z_score_deviation,attendance_trend,attendance_variance_14d,short_long_avg_gap
EMP-0001,2026-01-16,0,1,1,4,3.0,1.0,1.0,1.0,1.0,0.0,0.7071067811865475,0.0,0.0,0.0
EMP-TEST-01,2026-01-03,0,0,1,5,3.4,1.0,1.0,1.0,1.0,0.0,0.9128709291752769,0.0,0.0,0.0
EMP-TEST-01,2026-01-04,0,0,1,6,3.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0
EMP-TEST-01,2026-01-05,1,1,1,0,2.9,0.3333333333333333,0.3333333333333333,1.0,1.0,2.0,-0.30429030972509236,-0.5,0.33333333333333337,0.0
EMP-TEST-01,2026-01-06,0,1,1,1,3.4,0.5,0.5,2.0,2.0,0.0,0.0,-0.0,0.3333333333333333,0.0
EMP-TEST-01,2026-04-30,1,0,4,3,4.0,0.4,0.4,2.0,2.0,1.0,-0.18257418583505533,-0.1,0.3,0.0
PAK-01,2025-01-02,0,0,1,3,2.8,1.0,1.0,1.0,1.0,0.0,0.30106233264646093,0.0,0.0,0.0
PAK-01,2025-01-03,1,0,1,4,2.9,0.5,0.5,1.0,1.0,1.0,-1.5053116632323038,0.0,0.0,0.0
PAK-01,2025-01-06,1,0,1,0,3.2,0.6666666666666666,0.6666666666666666,2.0,2.0,0.0,-0.9031869979393823,-0.0,0.33333333333333337,0.0
PAK-01,2025-01-07,1,0,1,1,2.9,0.75,0.75,3.0,3.0,0.0,-0.6021246652929214,0.1,0.25000000000000006,0.0
PAK-01,2025-01-08,1,0,1,2,2.9,0.8,0.8,4.0,4.0,0.0,-0.4214872657050448,0.1,0.2,0.0
PAK-01,2025-01-09,1,0,1,3,2.9,0.8333333333333334,0.8333333333333334,5.0,5.0,0.0,-0.3010623326464605,0.085714,0.16666666666666669,0.0
PAK-01,2025-01-10,1,0,1,4,2.8,0.8571428571428571,0.8571428571428571,6.0,6.0,0.0,-0.2150445233189006,0.071429,0.14285714285714288,0.0
PAK-01,2025-01-13,1,0,1,0,3.1,0.8571428571428571,0.875,6.0,7.0,0.0,-0.2150445233189006,0.059524,0.125,0.017857142857142905
PAK-01,2025-01-14,1,0,1,1,3.4,1.0,0.8888888888888888,7.0,8.0,0.0,0.30106233264646093,0.05,0.1111111111111111,-0.11111111111111116
PAK-01,2025-01-15,1,0,1,2,2.6,1.0,0.9,7.0,9.0,0.0,0.30106233264646093,0.042424,0.09999999999999999,-0.09999999999999998
PAK-01,2025-01-16,0,0,1,3,3.6,1.0,0.9090909090909091,7.0,10.0,0.0,0.30106233264646093,0.036364,0.09090909090909091,-0.09090909090909094
PAK-01,2025-01-17,1,0,1,4,3.1,0.8571428571428571,0.8333333333333334,6.0,10.0,1.0,-0.2150445233189006,-0.006993,0.1515151515151515,-0.023809523809523725
PAK-01,2025-01-20,1,0,1,0,2.9,0.8571428571428571,0.8461538461538461,6.0,11.0,0.0,-0.2150445233189006,0.0,0.14102564102564102,-0.01098901098901095
